Wave Data provided @ 10:50hrs on 27-06-2015
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction
Cairns,9,1434807000,2015-06-20T23:30:00,-16.7335100000,145.7095900000,0.5335000000000000,0.9000000000000000,3.2300000000000000,2.9850000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434808800,2015-06-21T00:00:00,-16.7335000000,145.7096100000,0.5820000000000000,0.9100000000000000,3.3300000000000000,3.0770000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434810600,2015-06-21T00:30:00,-16.7334900000,145.7096100000,0.6005000000000000,1.1500000000000000,3.7000000000000000,3.1010000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434812400,2015-06-21T01:00:00,-16.7334900000,145.7096500000,0.6094000000000000,0.9500000000000000,3.7000000000000000,3.1750000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434814200,2015-06-21T01:30:00,-16.7335000000,145.7096300000,0.6279000000000000,1.0500000000000000,3.7000000000000000,3.1750000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434816000,2015-06-21T02:00:00,-16.7334900000,145.7096500000,0.6042000000000000,1.2200000000000000,4.0000000000000000,3.2260000000000000,24.2000000000000000,0.0000000000000000
Cairns,9,1434817800,2015-06-21T02:30:00,-16.7334900000,145.7096500000,0.6151000000000000,1.0100000000000000,3.4500000000000000,3.1010000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434819600,2015-06-21T03:00:00,-16.7334900000,145.7096500000,0.5598000000000000,0.9200000000000000,4.1700000000000000,3.1750000000000000,24.2000000000000000,0.0000000000000000
Cairns,9,1434821400,2015-06-21T03:30:00,-16.7334800000,145.7096500000,0.6414000000000000,1.1700000000000000,4.3500000000000000,3.3330000000000000,24.1500000000000000,0.0000000000000000
Cairns,9,1434823200,2015-06-21T04:00:00,-16.7335200000,145.7096500000,0.6330000000000000,1.2600000000000000,4.3500000000000000,3.4780000000000000,24.2000000000000000,0.0000000000000000
Cairns,9,1434825000,2015-06-21T04:30:00,-16.7334500000,145.7097000000,0.6406000000000000,1.0700000000000000,4.0000000000000000,3.5090000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434826800,2015-06-21T05:00:00,-16.7334500000,145.7096700000,0.6066000000000000,1.0300000000000000,4.1700000000000000,3.3900000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434828600,2015-06-21T05:30:00,-16.7334700000,145.7096500000,0.6779000000000000,1.2300000000000000,4.3500000000000000,3.2000000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434830400,2015-06-21T06:00:00,-16.7334700000,145.7096700000,0.6712000000000000,1.3000000000000000,4.3500000000000000,3.3900000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434832200,2015-06-21T06:30:00,-16.7334700000,145.7096500000,0.6911000000000000,1.1900000000000000,4.1700000000000000,3.3610000000000000,24.2500000000000000,0.0000000000000000
